Part,Price per unit,Quantity,total price in INR,total price in USD,links,,,,,,,
Rails ,899,6,5394, $62.72 ,[novo3d](https://novo3d.in/mgn15h-linear-rail/),,,,,,,
NEMA 23 Stepper Motor,1199,4,4796, $55.77 ,[robocraze](https://robocraze.com/products/23hs5628-nema23-stepper-motor?variant=40193193214105),,,,,,,
BIGTREETECH SKR 1.4 ,3699,1,3699, $43.01 ,[novo3d](https://novo3d.in/bigtreetech-pi-v1-2-control-board/),,,,,,,usd to inr
ballscrews,0,0,0, $-   ,already available,,,,,,,86
Spindle Clamp,0,0,0, $-   ,already available,,,,,,,
Alluminum stuff,0,0,0, $-   ,already available,,,,,,,
IOT Switching Relay Power Strip,0,0,0, $-   ,already available,,,,,,,
24V Meanwell Power Supply Bundle,1204,1,1204, $14.00 ,[amazon](https://amzn.in/d/6Mayd64),,,,,,,
Spindle Clamp,0,0,0, $-   ,already available,,,,,,,
Router/Spindle,4000,1,4000, $46.51 ,,,,,,,,
Fasteners,0,0,0, $-   ,I got all kinds of fasteners at home,,,,,,,
3d prints,949,1,949, $11.03 ,[amazon](https://amzn.in/d/5rqDBXf),,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,, $233.05 ,,,,,,,,
